Model,Dataset,R2,RMSE
lasso,combined,-1.572580053681013e+23,199482899047744.7
ridge,combined,-1.6090108299639536e+23,201780304612305.84
GradientBoostingRegressor,combined,0.9850241712815899,61.559448702638804
lasso,original,-18111.797409836247,67700.52779756003
ridge,original,-32846.00245060181,91168.99368660217
GradientBoostingRegressor,original,0.9041922133798375,155.7039726055221
lasso,other,-9.459887241134844e+22,154718508305481.4
ridge,other,-9.656488035241425e+22,156317965154062.9
GradientBoostingRegressor,other,0.41719929629519237,384.02484578957575
